Battle Quiz #,Question #,Group,Quiz Title,Difficulty,Type,Question,Option A,Option B,Option C,Option D,Correct Answer,Fun Fact
3,1,"BTS","BTS music video trivia - can you get 100%?","hard","multiple_choice","In the Spring Day MV, what book is referenced through the setting?","1984","The Little Prince","The Ones Who Walk Away from Omelas","Norwegian Wood","The Ones Who Walk Away from Omelas","The Omelas motel sign and Ursula K. Le Guin's story themes are central to the MV's meaning."
3,2,"SHINee","SHINee legends quiz","medium","multiple_choice","What year did SHINee debut?","2009","2008","2007","2010","2008",""
3,3,"General K-pop","K-pop TikTok viral moments","medium","multiple_choice","FIFTY FIFTY's 'Cupid' went viral on TikTok in which year?","2024","2021","2022","2023","2023",""
3,4,"General K-pop","K-pop survival shows quiz","hard","multiple_choice","Which survival show formed the group I.O.I?","Girls Planet 999","Produce 101 Season 1","Produce 48","Sixteen","Produce 101 Season 1",""
3,5,"General K-pop","K-pop Weverse and social media quiz","medium","true_false","K-pop fans are known for organized streaming parties to boost chart numbers","True","False","","","True",""
4,1,"General K-pop","K-pop B-sides that became fan favorites","hard","multiple_choice","'Spring Day' by BTS was technically a what?","A collab","A solo song","A promoted B-side / title track from a repackage","A digital single","A promoted B-side / title track from a repackage",""
4,2,"Stray Kids","How well do you know SKZ members?","easy","multiple_choice","Felix is known for his distinctive what?","High-pitched voice","Deep voice","Whistle notes","Falsetto","Deep voice","Felix's surprisingly deep voice contrasts with his youthful appearance and is one of his most recognizable traits."
4,3,"General K-pop","f(x) quiz - SM's unique girl group","hard","multiple_choice","Which f(x) member is Krystal's sister, also a K-pop idol?","Jessica (former Girls' Generation)","Yoona","Tiffany","Taeyeon","Jessica (former Girls' Generation)",""
4,4,"General K-pop","K-pop concert facts true or false","hard","true_false","TWICE has held concerts in Japan's Tokyo Dome","True","False","","","True",""
4,5,"ATEEZ","ATEEZ discography challenge","hard","multiple_choice","ATEEZ performed on which competitive K-pop TV show in 2022?","I-Land","Queendom","Kingdom: Legendary War","Road to Kingdom","Kingdom: Legendary War",""
5,1,"aespa","aespa lore and KWANGYA universe trivia","hard","multiple_choice","Black Mamba in aespa's universe represents what?","An ally","A powerful weapon","The main villain/evil force","A portal","The main villain/evil force","Black Mamba is an evil entity in KWANGYA that tries to sever the connection between aespa and their ae counterparts."
5,2,"General K-pop","Which year did this song come out?","hard","multiple_choice","When was 'Gee' by Girls' Generation released?","2011","2009","2010","2008","2009",""
5,3,"BTS","K-pop BT21 characters quiz","medium","multiple_choice","Which BT21 character was created by RM?","RJ","Chimmy","Tata","Koya","Koya",""
5,4,"General K-pop","K-pop group name meanings true or false","medium","true_false","NCT stands for 'Neo Culture Technology'","True","False","","","True",""
5,5,"General K-pop","Name the group from the fandom name","hard","multiple_choice","Which group has the fandom name 'NEVERLAND'?","(G)I-DLE","ITZY","IVE","aespa","(G)I-DLE",""
6,1,"General K-pop","Can You Recognize These Idols as Kids?","hard","image","Who is this idol as a child?","Hyunjin","Felix","Han","Lee Know","Hyunjin","Hyunjin was street casted by JYP Entertainment"
6,2,"BTS","BTS true or false - test your ARMY knowledge","medium","true_false","RM is the tallest member of BTS","True","False","","","True",""
6,3,"Stray Kids","Stray Kids true or false","medium","true_false","Stray Kids' fandom is called STRAY","True","False","","","False",""
6,4,"BLACKPINK","BLACKPINK title tracks challenge","medium","multiple_choice","What was BLACKPINK's first song to reach #1 on a US chart?","DDU-DU DDU-DU","How You Like That","Ice Cream","Pink Venom","Ice Cream","Ice Cream with Selena Gomez topped the Billboard Global 200 chart."
6,5,"aespa","aespa lore and KWANGYA universe trivia","hard","multiple_choice","The song Next Level references traveling to where?","Earth","KWANGYA","Neverland","The metaverse","KWANGYA","Next Level follows aespa's journey to KWANGYA to fight Black Mamba and find naevis."
7,1,"General K-pop","K-pop OST (drama soundtracks) quiz","hard","multiple_choice","'Stay With Me' from the drama 'Goblin' was sung by which two artists?","Baekhyun (EXO) and IU","D.O. (EXO) and Wendy","Chen (EXO) and Taeyeon","Chanyeol (EXO) and Punch","Chanyeol (EXO) and Punch",""
7,2,"NCT","NCT 127 basics","medium","multiple_choice","Which NCT 127 member is Canadian?","Johnny","Mark","Yuta","Taeyong","Mark",""
7,3,"General K-pop","Can You Name These Male K-pop Idols?","medium","image","Who is this idol?","Hoshi","Woozi","DK","Seungkwan","Hoshi","Hoshi created SEVENTEEN famous synchronized choreographies"
7,4,"BTS","BTS members - know your biases","easy","multiple_choice","Who is the leader of BTS?","J-Hope","RM","Jin","Suga","RM",""
7,5,"ITZY","ITZY members quiz","easy","multiple_choice","What is ITZY's fandom name?","MIDZ","MIDZY","ITZY","ITZIN","MIDZY",""
8,1,"General K-pop","K-pop collaboration with Western artists","medium","true_false","BTS collaborated with Halsey on 'Boy With Luv'","True","False","","","True",""
8,2,"General K-pop","Which group is this member from?","medium","multiple_choice","Minji is a member of which group?","NewJeans","aespa","LE SSERAFIM","IVE","NewJeans",""
8,3,"General K-pop","Name the group from the fandom name","hard","multiple_choice","Which group has the fandom name 'FEARNOT'?","ITZY","LE SSERAFIM","IVE","NewJeans","LE SSERAFIM",""
8,4,"Stray Kids","Stray Kids NOEASY to MAXIDENT era","hard","multiple_choice","Which Stray Kids album reached #1 on the Billboard 200?","ODDINARY","MAXIDENT","NOEASY","5-STAR","5-STAR",""
8,5,"General K-pop","K-pop songs of 2024 quiz","medium","multiple_choice","Which group released 'Chk Chk Boom' in 2024?","ATEEZ","Stray Kids","TXT","ENHYPEN","Stray Kids",""
9,1,"BTS","How well do you know BTS members?","easy","multiple_choice","Which member released the solo mixtape Hope World?","RM","Suga","J-Hope","Jimin","J-Hope","Hope World was released in 2018 and debuted at #38 on the Billboard 200."
9,2,"IVE","IVE members quiz","easy","multiple_choice","What year did IVE debut?","2020","2023","2021","2022","2021",""
9,3,"General K-pop","K-pop concert and tour facts","hard","multiple_choice","Which K-pop act was the first to headline a UK stadium?","BTS (Wembley Stadium, 2019)","BLACKPINK","BIGBANG","EXO","BTS (Wembley Stadium, 2019)",""
9,4,"General K-pop","K-pop generations quiz","hard","multiple_choice","NewJeans and IVE are considered which generation?","3.5 generation","5th generation","4th generation","3rd generation","4th generation",""
9,5,"General K-pop","Name That Album Cover","hard","image","Which album is this?","THE ALBUM","BORN PINK","Square Up","Kill This Love","THE ALBUM","THE ALBUM was BLACKPINK first full studio album after 4 years of EPs"
10,1,"TWICE","TWICE title tracks challenge - name that song","medium","multiple_choice","What was TWICE's debut song?","Cheer Up","Like Ooh-Ahh","TT","Knock Knock","Like Ooh-Ahh","Like Ooh-Ahh was the first K-pop debut MV to reach 100 million views on YouTube."
10,2,"General K-pop","DAY6 quiz","medium","multiple_choice","DAY6 attempted a unique project where they released a song every what?","Every quarter","Every week","Every day","Every month for a year (Every DAY6 project)","Every month for a year (Every DAY6 project)",""
10,3,"BLACKPINK","BLACKPINK members quiz","easy","multiple_choice","Which company did BLACKPINK debut under?","JYP Entertainment","YG Entertainment","HYBE","SM Entertainment","YG Entertainment",""
10,4,"General K-pop","Which Company Does This Idol Belong To?","medium","image","Which company is this idol from?","YG Entertainment","SM Entertainment","JYP Entertainment","HYBE","YG Entertainment","Jennie trained at YG for almost 6 years before debuting"
10,5,"General K-pop","HYBE groups quiz","medium","multiple_choice","Which HYBE label manages BTS?","ADOR","Source Music","Pledis","Big Hit Music","Big Hit Music",""
11,1,"ATEEZ","ATEEZ basics for ATINYs","easy","multiple_choice","Which company does ATEEZ belong to?","KQ Entertainment","JYP Entertainment","SM Entertainment","HYBE","KQ Entertainment",""
11,2,"BLACKPINK","BLACKPINK solo careers deep dive","hard","multiple_choice","Rose's solo album 'R' featured which two singles?","Stay and Whistle","Flower and Petal","On The Ground and Gone","Solo and Money","On The Ground and Gone",""
11,3,"Stray Kids","Stray Kids NOEASY to MAXIDENT era","hard","multiple_choice","What was the lead single of NOEASY?","Back Door","Thunderous","MANIAC","God's Menu","Thunderous",""
11,4,"BTS","BTS discography challenge - name that era","hard","multiple_choice","Spring Day belongs to which album?","Wings","You Never Walk Alone","Love Yourself: Her","Love Yourself: Answer","You Never Walk Alone","Spring Day has stayed on the Melon chart for years, making it one of the longest-charting K-pop songs ever."
11,5,"General K-pop","Which Company Does This Idol Belong To?","medium","image","Which company is this idol from?","HYBE","SM Entertainment","YG Entertainment","JYP Entertainment","HYBE","HYBE was formerly known as Big Hit Entertainment"
12,1,"General K-pop","K-pop food and mukbang culture","easy","true_false","Tteokbokki (spicy rice cakes) is a Japanese dish","True","False","","","False",""
12,2,"NewJeans","NewJeans true or false","medium","true_false","NewJeans' debut song was 'Hype Boy'","True","False","","","False",""
12,3,"BLACKPINK","BLACKPINK title tracks challenge","medium","multiple_choice","Lovesick Girls is from which BLACKPINK album?","Square Up","Kill This Love EP","THE ALBUM","Born Pink","THE ALBUM","THE ALBUM (2020) was BLACKPINK's first full-length studio album after 4 years of releasing only singles and EPs."
12,4,"BTS","Find the Non-BTS Member","easy","intruder","Find the intruder","Jin","RM","Suga","Mark","Mark","Mark is a member of both NCT 127 and NCT Dream"
12,5,"General K-pop","K-pop debut years true or false","medium","true_false","Stray Kids debuted in 2019","True","False","","","False",""
13,1,"ATEEZ","ATEEZ basics for ATINYs","easy","multiple_choice","What was ATEEZ's debut song?","Pirate King","Wonderland","HALA HALA","Answer","Pirate King",""
13,2,"General K-pop","K-pop food and mukbang culture","easy","true_false","Jin from BTS is known for his love of cooking and food","True","False","","","True",""
13,3,"BTS","BTS true or false - test your ARMY knowledge","medium","true_false","BTS's fandom name ARMY stands for 'Adorable Representative M.C. for Youth'","True","False","","","True",""
13,4,"BTS","BTS true or false - harder edition","hard","true_false","RM has written or helped create over 200 songs","True","False","","","True",""
13,5,"General K-pop","SM Entertainment groups quiz","medium","multiple_choice","Which SM girl group debuted in 2020?","Girls' Generation","Red Velvet","aespa","f(x)","aespa",""
14,1,"General K-pop","K-pop songs of 2023 quiz","medium","multiple_choice","Which solo artist released 'Seven' in 2023?","V (BTS)","Jimin (BTS)","RM (BTS)","Jungkook (BTS)","Jungkook (BTS)",""
14,2,"TWICE","TWICE music videos quiz - visual trivia","medium","multiple_choice","Which TWICE MV features a colorful phone booth?","What is Love?","Likey","Heart Shaker","Dance The Night Away","Likey","Likey was filmed in Vancouver, Canada and features the members vlogging their adventures."
14,3,"Stray Kids","Stray Kids true or false","medium","true_false","Stray Kids has 9 members","True","False","","","False",""
14,4,"General K-pop","K-pop collaboration with Western artists","medium","true_false","BLACKPINK collaborated with Lady Gaga on 'Sour Candy'","True","False","","","True",""
14,5,"General K-pop","Which Company Does This Idol Belong To?","medium","image","Which company is this idol from?","JYP Entertainment","HYBE","SM Entertainment","YG Entertainment","JYP Entertainment","Felix almost got eliminated during Stray Kids survival show"
15,1,"Stray Kids","Stray Kids members deep knowledge","hard","multiple_choice","Bang Chan hosts a regular live broadcast series called what?","SKZ Room","Chan's Room","Bang Bang Con","Chan's World","Chan's Room",""
15,2,"General K-pop","K-pop Weverse and social media quiz","medium","true_false","V from BTS broke the record for fastest Instagram account to reach 1 million followers","True","False","","","False",""
15,3,"Red Velvet","Red Velvet members quiz","medium","multiple_choice","What is Red Velvet's fandom name?","Red Light","Velvet","RV","ReVeluv","ReVeluv",""
15,4,"General K-pop","K-pop dating and relationships - verified facts only","hard","true_false","HyunA and Dawn (former PENTAGON) publicly dated and later got engaged","True","False","","","True",""
15,5,"BTS","BTS Wings era deep dive","hard","multiple_choice","What was the lead single of the Wings album?","Blood Sweat & Tears","Not Today","Fire","Spring Day","Blood Sweat & Tears",""
16,1,"TWICE","TWICE discography quiz","medium","multiple_choice","Which TWICE song went viral for its 'shy shy shy' dance?","What is Love?","TT","Cheer Up","Like Ooh-Ahh","Cheer Up",""
16,2,"Red Velvet","Red Velvet discography quiz","hard","multiple_choice","Which Red Velvet song is considered their breakout hit?","Happiness","Russian Roulette","Dumb Dumb","Ice Cream Cake","Ice Cream Cake",""
16,3,"General K-pop","Complete the K-pop song title","medium","multiple_choice","BLACKPINK - 'How You Like ___'","This","Me","That","It","That",""
16,4,"ITZY","ITZY discography deep dive","medium","multiple_choice","Which ITZY member is also known for her rapping skills?","Ryujin","Lia","Chaeryeong","Yeji","Ryujin",""
16,5,"General K-pop","K-pop variety show moments","hard","multiple_choice","SEVENTEEN's variety content series is called what?","SEVENTEEN TV","SVT Club","Going SEVENTEEN (GoSe)","Carat Land","Going SEVENTEEN (GoSe)",""
17,1,"ITZY","ITZY discography deep dive","medium","multiple_choice","Which ITZY song has the famous lyrics 'I don't wanna be somebody, just wanna be me'?","Not Shy","DALLA DALLA","WANNABE","ICY","WANNABE",""
17,2,"EXO","EXO true or false","medium","true_false","EXO's breakthrough hit was 'Wolf'","True","False","","","False",""
17,3,"General K-pop","K-pop 2nd generation legends","medium","multiple_choice","Super Junior debuted under which company?","SM Entertainment","JYP Entertainment","HYBE","YG Entertainment","SM Entertainment",""
17,4,"General K-pop","K-pop group name meanings true or false","medium","true_false","LE SSERAFIM is an anagram of 'I'M FEARLESS'","True","False","","","True",""
17,5,"General K-pop","K-pop music show programs quiz","medium","multiple_choice","Which TV channel broadcasts 'Inkigayo'?","KBS","Mnet","SBS","MBC","SBS",""
18,1,"General K-pop","Which company is this group from?","medium","multiple_choice","Which company is NMIXX from?","SM Entertainment","HYBE","YG Entertainment","JYP Entertainment","JYP Entertainment",""
18,2,"GOT7","GOT7 basics","medium","multiple_choice","Which GOT7 member is from Thailand?","Mark","BamBam","Jackson","Yugyeom","BamBam",""
18,3,"General K-pop","WINNER and iKON quiz - YG brothers","hard","multiple_choice","Which iKON member became famous as a leader and songwriter?","Jay","Bobby","B.I (Kim Hanbin)","Jinhwan","B.I (Kim Hanbin)",""
18,4,"General K-pop","f(x) quiz - SM's unique girl group","hard","multiple_choice","Which company does f(x) belong to?","YG Entertainment","Cube Entertainment","JYP Entertainment","SM Entertainment","SM Entertainment",""
18,5,"aespa","aespa members facts quiz","easy","multiple_choice","Which aespa member is from China?","Karina","Giselle","Winter","NingNing","NingNing","NingNing (Ning Yizhuo) is from Harbin, China and speaks Mandarin, Korean, and English."
19,1,"General K-pop","K-pop birthplace true or false","medium","true_false","Lisa from BLACKPINK is from Thailand","True","False","","","True",""
19,2,"General K-pop","Name That Boy Group Album","hard","image","Which album is this?","DARK BLOOD","DIMENSION: DILEMMA","MANIFESTO","BORDER: CARNIVAL","DARK BLOOD","DARK BLOOD is ENHYPEN darkest concept album"
19,3,"ATEEZ","ATEEZ true or false","medium","true_false","ATEEZ's debut song was 'Wonderland'","True","False","","","False",""
19,4,"Red Velvet","Red Velvet members quiz","medium","multiple_choice","Which company does Red Velvet belong to?","SM Entertainment","YG Entertainment","HYBE","JYP Entertainment","SM Entertainment",""
19,5,"LE SSERAFIM","LE SSERAFIM ANTIFRAGILE to UNFORGIVEN","medium","multiple_choice","Sakura was a member of which Japanese idol group before LE SSERAFIM?","NMB48","Nogizaka46","AKB48 only","HKT48 (and IZ*ONE)","HKT48 (and IZ*ONE)",""
20,1,"(G)I-DLE","(G)I-DLE members and facts","medium","multiple_choice","Who is the leader and main songwriter of (G)I-DLE?","Yuqi","Minnie","Miyeon","Soyeon","Soyeon",""
20,2,"General K-pop","K-pop military service deep dive","medium","true_false","A law was passed allowing K-pop artists to delay enlistment until age 30","True","False","","","True",""
20,3,"Red Velvet","Red Velvet true or false","medium","true_false","Joy has acted in Korean dramas","True","False","","","True",""
20,4,"aespa","aespa members facts quiz","easy","multiple_choice","Giselle is of which nationality?","Korean","Japanese-Korean","Chinese-Korean","American-Korean","Japanese-Korean","Giselle (Aeri Uchinaga) is half Japanese and half Korean, and speaks Japanese, Korean, and English fluently."
20,5,"BTS","BTS Map of the Soul era","hard","multiple_choice","What was the lead single of Map of the Soul: Persona?","Dionysus","Boy With Luv","HOME","Mikrokosmos","Boy With Luv",""
21,1,"TWICE","TWICE specific eras quiz","hard","multiple_choice","What is TWICE's most recent concept direction known for?","Rock concept","Mature/girl crush (moving away from cute concept)","Hip-hop","Returning to cute concept","Mature/girl crush (moving away from cute concept)",""
21,2,"EXO","EXO true or false","medium","true_false","EXO debuted under SM Entertainment","True","False","","","True",""
21,3,"General K-pop","MAMAMOO members and facts","medium","multiple_choice","How many members are in MAMAMOO?","5","3","6","4","4",""
21,4,"General K-pop","2NE1 legacy quiz","medium","multiple_choice","What was 2NE1's debut song?","Lonely","Come Back Home","Fire","I Am the Best","Fire",""
21,5,"NewJeans","NewJeans members quiz","easy","multiple_choice","What was NewJeans' debut song?","Ditto","Attention","Hype Boy","Cookie","Attention",""
22,1,"BTS","BTS members real names - complete test","medium","multiple_choice","What is V's real name?","Kim Seokjin","Kim Namjoon","Kim Taehyung","Min Yoongi","Kim Taehyung",""
22,2,"TWICE","TWICE members facts quiz","medium","multiple_choice","Dahyun is known for what signature move from Sixteen?","Shy shy shy","Eagle dance","TT gesture","Heart shake","Eagle dance","Dahyun's eagle dance went viral during Sixteen and became one of her most iconic moments."
22,3,"TWICE","TWICE discography quiz","medium","multiple_choice","Which TWICE member released the solo song 'POP!'?","Momo","Jihyo","Sana","Nayeon","Nayeon",""
22,4,"NCT","NCT 127 basics","medium","multiple_choice","What does '127' in NCT 127 represent?","A lucky number","The longitude of Seoul","The number of planned members","Their debut date","The longitude of Seoul",""
22,5,"General K-pop","K-pop fandom names quiz","easy","multiple_choice","What is Stray Kids' fandom called?","SKZ","STRAY","STAY","KIDS","STAY",""
23,1,"TWICE","TWICE music videos quiz - visual trivia","medium","multiple_choice","Dance The Night Away MV was filmed at which type of location?","An amusement park","A beach","A ski resort","A shopping mall","A beach","The summer-themed MV was filmed at a beach location, fitting the song's refreshing concept."
23,2,"General K-pop","K-pop debut songs - name the group","hard","multiple_choice","'Black Mamba' is the debut song of which group?","aespa","ITZY","IVE","BLACKPINK","aespa",""
23,3,"BTS","BTS discography challenge","medium","multiple_choice","What was BTS's first full-length Korean studio album?","Love Yourself: Tear","2 Cool 4 Skool","Dark & Wild","Wings","Dark & Wild",""
23,4,"General K-pop","Which year did this song come out?","hard","multiple_choice","When was 'Dynamite' by BTS released?","2019","2021","2020","2018","2020",""
23,5,"aespa","aespa true or false","medium","true_false","aespa has 5 members","True","False","","","False",""
24,1,"General K-pop","Which group is this member from?","medium","multiple_choice","Wonyoung is a member of which group?","LE SSERAFIM","aespa","IVE","NewJeans","IVE",""
24,2,"General K-pop","K-pop albums that sold millions","hard","multiple_choice","BLACKPINK's BORN PINK sold over how many copies?","500,000","100,000","5 million","Over 2 million in first week","Over 2 million in first week",""
24,3,"General K-pop","K-pop OST (drama soundtracks) quiz","hard","multiple_choice","Which K-pop idol sang the famous OST 'Breathe' for the drama 'A Korean Odyssey'?","Taeyeon","Wendy","IU","Lee Hi","Lee Hi",""
24,4,"BTS","BTS world records and achievements quiz","medium","multiple_choice","What was BTS's first song to debut at #1 on the Billboard Hot 100?","Butter","Dynamite","Life Goes On","Permission to Dance","Dynamite","Dynamite debuted at #1 in September 2020."
24,5,"LE SSERAFIM","LE SSERAFIM basics","easy","multiple_choice","Which member was previously in IZ*ONE?","Only Chaewon","Yunjin","Only Sakura","Sakura and Chaewon","Sakura and Chaewon",""
25,1,"Stray Kids","Stray Kids basics","easy","multiple_choice","What is Stray Kids' fandom name?","STAY","KIDS","STRAY","SKZ","STAY",""
25,2,"TWICE","TWICE discography quiz","medium","multiple_choice","Who is the leader of TWICE?","Jeongyeon","Dahyun","Jihyo","Nayeon","Jihyo",""
25,3,"General K-pop","K-pop Weverse and fan platforms","medium","multiple_choice","Which platform hosts official K-pop fan voting for music shows?","Multiple apps including Whosfan and MUBEAT","Only Twitter","Only Weverse","Only Instagram","Multiple apps including Whosfan and MUBEAT",""
25,4,"General K-pop","MAMAMOO members and facts","medium","multiple_choice","Who is the leader of MAMAMOO?","Hwasa","Wheein","Solar","Moonbyul","Solar",""
25,5,"General K-pop","K-pop numbers quiz - how many members?","easy","multiple_choice","Which group has the most current members?","TWICE (9)","NCT 127 (10)","SEVENTEEN (13)","Stray Kids (8)","SEVENTEEN (13)",""
26,1,"General K-pop","K-pop fashion true or false","medium","true_false","V from BTS is a Gucci ambassador","True","False","","","False",""
26,2,"TXT","TXT true or false - MOA edition","medium","true_false","TXT's debut song 'Crown' was about growing pains and feeling different","True","False","","","True",""
26,3,"BTS","BTS world records and achievements quiz","medium","multiple_choice","In what year did BTS first speak at the United Nations?","2017","2018","2019","2020","2018","BTS spoke at the 73rd UN General Assembly in September 2018 as part of their UNICEF Love Myself campaign."
26,4,"General K-pop","K-pop birthplace true or false","medium","true_false","Danielle from NewJeans is Korean-Australian","True","False","","","True",""
26,5,"BLACKPINK","Find the Non-BLACKPINK Member","easy","intruder","Find the intruder","Lisa","Jisoo","Rose","Ryujin","Ryujin","Ryujin was scouted at a GOT7 concert by JYP himself"
27,1,"NewJeans","NewJeans true or false","medium","true_false","NewJeans debuted in 2021","True","False","","","False",""
27,2,"(G)I-DLE","(G)I-DLE true or false","medium","true_false","(G)I-DLE originally debuted with 6 members","True","False","","","True",""
27,3,"SEVENTEEN","SEVENTEEN true or false","medium","true_false","Pledis Entertainment was acquired by HYBE","True","False","","","True",""
27,4,"General K-pop","K-pop military service deep dive","medium","true_false","All South Korean men must complete mandatory military service","True","False","","","True",""
27,5,"General K-pop","K-pop birthplace quiz - where are they from?","hard","multiple_choice","Ningning (aespa) is from which country?","South Korea","Japan","Thailand","China","China",""
28,1,"BTS","BTS Map of the Soul era","hard","multiple_choice","Which artist featured on 'Boy With Luv'?","Halsey","Dua Lipa","Ariana Grande","Billie Eilish","Halsey",""
28,2,"General K-pop","K-pop sasaeng and fan culture dark side","medium","true_false","K-pop agencies have taken legal action against sasaeng fans","True","False","","","True",""
28,3,"General K-pop","SM Entertainment groups quiz","medium","multiple_choice","NCT is an SM group known for its unique system of what?","Unlimited members across multiple sub-units","AI-generated music","Fan-chosen comebacks","Rotating leaders","Unlimited members across multiple sub-units",""
28,4,"Stray Kids","Stray Kids discography challenge","hard","multiple_choice","S-Class is from which Stray Kids album?","ODDINARY","MAXIDENT","5-STAR","Rock-Star","5-STAR","5-STAR was Stray Kids' third album to top the Billboard 200."
28,5,"General K-pop","Name That Boy Group Album","hard","image","Which album is this?","Breath of Love: Last Piece","Eyes On You","Present: YOU","Call My Name","Breath of Love: Last Piece","Breath of Love was GOT7 last album before leaving JYP"
29,1,"General K-pop","Which Company Does This Idol Belong To?","medium","image","Which company is this idol from?","Cube Entertainment","SM Entertainment","JYP Entertainment","HYBE","Cube Entertainment","Miyeon was originally a YG trainee before moving to Cube"
29,2,"aespa","aespa lore and KWANGYA universe trivia","hard","multiple_choice","What is KWANGYA in aespa's universe?","A planet","A virtual world/dimension","A weapon","A song title","A virtual world/dimension","KWANGYA is the virtual world where aespa's AI counterparts (ae) exist alongside the human members."
29,3,"BLACKPINK","Find the Non-BLACKPINK Member","easy","intruder","Find the intruder","Jennie","Jisoo","Rose","Wonyoung","Wonyoung","Wonyoung won first place on Produce 48"
29,4,"General K-pop","K-pop fashion true or false","medium","true_false","K-pop idols often wear sponsored outfits at airports (airport fashion)","True","False","","","True",""
29,5,"General K-pop","Kep1er quiz","medium","multiple_choice","What year did Kep1er debut?","2020","2021","2022","2023","2022",""
30,1,"General K-pop","K-pop numbers quiz - how many members?","easy","multiple_choice","How many members does ENHYPEN have?","8","7","9","6","7",""
30,2,"General K-pop","Name That Boy Group Album","hard","image","Which album is this?","The Name Chapter: FREEFALL","Temptation","Dream Chapter: Star","minisode 2","The Name Chapter: FREEFALL","FREEFALL debuted at number one on the Billboard 200"
30,3,"General K-pop","K-pop idols in dramas true or false","medium","true_false","Jennie from BLACKPINK starred in 'Hotel Del Luna'","True","False","","","False",""
30,4,"General K-pop","K-pop group name meanings","hard","multiple_choice","What does LE SSERAFIM's name spell when rearranged?","SERAPHIM","I'M FEARLESS","FLAME RISE","I'M SPECIAL","I'M FEARLESS",""
30,5,"BTS","BTS true or false - harder edition","hard","true_false","Dynamite was BTS's first song to debut at #1 on the Billboard Hot 100","True","False","","","True",""
31,1,"Stray Kids","SKZ producing and self-made trivia","hard","multiple_choice","Who in 3RACHA goes by the producing alias CB97?","Changbin","Han","Bang Chan","None of them","Bang Chan","CB97 stands for Christopher Bang born in 1997."
31,2,"General K-pop","DAY6 quiz","medium","multiple_choice","How many members are in DAY6?","7","5","6","4","5",""
31,3,"General K-pop","Name That Boy Group Album","hard","image","Which album is this?","MADE","ALIVE","STILL ALIVE","Remember","MADE","MADE was released as individual singles over a year before the full album"
31,4,"General K-pop","K-pop English songs quiz","medium","multiple_choice","Which was BTS's second all-English single?","Butter","Life Goes On","Permission to Dance","Dynamite","Butter",""
31,5,"General K-pop","K-pop debut years true or false","medium","true_false","BLACKPINK and TWICE debuted in the same year","True","False","","","False",""
32,1,"General K-pop","Which Company Does This Idol Belong To?","medium","image","Which company is this idol from?","SM Entertainment","JYP Entertainment","YG Entertainment","HYBE","SM Entertainment","Taeyeon has been with SM Entertainment since 2004"
32,2,"Red Velvet","Red Velvet members quiz","medium","multiple_choice","How many members are in Red Velvet?","4","6","7","5","5",""
32,3,"BLACKPINK","BLACKPINK 'THE ALBUM' quiz","hard","multiple_choice","What was the lead single of THE ALBUM?","How You Like That","Pretty Savage","Lovesick Girls","Ice Cream","Lovesick Girls",""
32,4,"BTS","BTS true or false - test your ARMY knowledge","medium","true_false","BTS stands for 'Bangtan Sonyeondan'","True","False","","","True",""
32,5,"General K-pop","K-pop album packaging quiz","easy","true_false","K-pop albums are typically more expensive than Western albums due to the packaging","True","False","","","True",""
33,1,"General K-pop","YG Entertainment groups quiz","medium","multiple_choice","BABYMONSTER is the first YG girl group since which group?","2NE1 (2009)","BLACKPINK (2016)","Lee Hi (2012)","TREASURE (2020)","BLACKPINK (2016)",""
33,2,"BTS","BTS solo careers quiz","hard","multiple_choice","What is Suga's solo rapper name?","Shadow","August","Agust D","Yoongi D","Agust D",""
